contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiry,underlying,fetch_time
AAPL250815P00150000,2025-08-01 19:15:14+00:00,150.0,0.04,0.04,0.05,-0.02,-33.333336,498.0,3383,0.6171913281250001,False,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00155000,2025-08-01 19:58:58+00:00,155.0,0.06,0.04,0.06,-0.02,-25.0,190.0,3073,0.5625043750000001,False,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00160000,2025-08-01 19:59:05+00:00,160.0,0.07,0.06,0.08,-0.04,-36.363636,1033.0,13776,0.523442265625,False,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00165000,2025-08-01 19:12:43+00:00,165.0,0.09,0.09,0.1,-0.06999999,-43.749996,816.0,4560,0.48633326171875,False,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00170000,2025-08-01 19:53:58+00:00,170.0,0.15,0.13,0.21,-0.059999987,-28.571424,1074.0,12376,0.477544287109375,False,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00175000,2025-08-01 19:51:08+00:00,175.0,0.23,0.22,0.23,-0.08,-25.80645,1504.0,7004,0.41699801757812494,False,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00180000,2025-08-01 19:59:56+00:00,180.0,0.36,0.36,0.37,-0.109999985,-23.404253,1087.0,16632,0.3845276391601562,False,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00185000,2025-08-01 19:58:43+00:00,185.0,0.66,0.63,0.68,-0.06999999,-9.58904,3013.0,23558,0.3635317553710938,False,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00187500,2025-08-01 19:52:06+00:00,187.5,0.87,0.86,0.91,-0.089999974,-9.374998,1838.0,2195,0.3523013989257812,False,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00190000,2025-08-01 19:59:36+00:00,190.0,1.2,1.17,1.22,-0.00999999,-0.8264455,8030.0,18908,0.34204759521484374,False,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00192500,2025-08-01 19:58:54+00:00,192.5,1.61,1.56,1.65,0.08000004,5.228761,2326.0,2596,0.33411310424804685,False,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00195000,2025-08-01 19:59:51+00:00,195.0,2.11,2.11,2.17,0.119999886,6.0301447,4944.0,15253,0.32349309326171866,False,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00197500,2025-08-01 19:58:54+00:00,197.5,2.82,2.79,2.9,0.25,9.727627,3050.0,2452,0.3177558459472656,False,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00200000,2025-08-01 19:59:15+00:00,200.0,3.75,3.65,3.75,0.45000005,13.636366,20734.0,28942,0.30847859497070307,False,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00202500,2025-08-01 19:59:57+00:00,202.5,4.8,4.7,4.9,0.72000027,17.647066,3342.0,1293,0.3060372131347656,True,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00205000,2025-08-01 19:59:27+00:00,205.0,6.1,6.0,6.2,1.04,20.55336,6741.0,18292,0.3001778967285156,True,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00207500,2025-08-01 19:54:21+00:00,207.5,7.68,7.45,7.8,1.5,24.271847,4904.0,1948,0.3006661730957031,True,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00210000,2025-08-01 19:59:59+00:00,210.0,9.41,9.15,9.5,2.0099998,27.162159,3586.0,23382,0.29492892578124996,True,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00212500,2025-08-01 19:54:18+00:00,212.5,11.4,11.05,11.65,2.5999994,29.545446,2309.0,2069,0.3122627368164062,True,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00215000,2025-08-01 19:48:10+00:00,215.0,13.5,13.3,13.7,2.9499998,27.962082,1030.0,7546,0.3117744604492187,True,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00217500,2025-08-01 19:50:55+00:00,217.5,15.44,15.25,16.2,3.1399994,25.528448,175.0,278,0.3494938098144531,True,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00220000,2025-08-01 19:51:56+00:00,220.0,17.86,17.85,18.4,3.5200005,24.546726,352.0,5802,0.3498600170898437,True,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00222500,2025-08-01 16:55:51+00:00,222.5,20.55,20.25,21.0,4.549999,28.437496,20.0,166,0.3957579956054688,True,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00225000,2025-08-01 19:31:23+00:00,225.0,22.12,22.5,23.3,4.3600006,24.549553,209.0,4333,0.40015248291015626,True,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00227500,2025-08-01 13:33:57+00:00,227.5,16.32,24.8,25.8,-3.58,-17.98995,1.0,72,0.4304256176757813,True,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00230000,2025-08-01 19:38:33+00:00,230.0,27.24,27.4,28.15,4.039999,17.413788,78.0,1987,0.43408769042968753,True,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00232500,2025-08-01 13:30:02+00:00,232.5,30.36,29.7,30.75,6.41,26.764091,3.0,25,0.47998566894531247,True,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00235000,2025-07-31 19:56:59+00:00,235.0,24.78,32.35,32.95,-2.92,-10.541516,8.0,854,0.44385321777343745,True,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00240000,2025-07-31 18:45:05+00:00,240.0,35.1,37.35,38.0,3.8499985,12.319996,13.0,640,0.5063525927734375,True,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00245000,2025-07-17 19:55:17+00:00,245.0,32.9,41.9,43.3,-1.7699966,-5.105269,2.0,63,0.6225623681640625,True,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00250000,2025-07-31 17:14:47+00:00,250.0,40.44,47.2,48.05,0.0,0.0,1.0,99,0.614261669921875,True,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00255000,2025-07-31 18:17:31+00:00,255.0,47.04,52.2,53.25,0.0,0.0,2.0,46,0.5293015820312501,True,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00260000,2025-07-28 19:38:48+00:00,260.0,50.2,56.85,58.3,3.7000008,7.9569907,3.0,9,0.7670921728515626,True,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00265000,2025-07-28 19:38:48+00:00,265.0,51.5,61.7,63.35,0.0,0.0,82.0,12,0.8237322314453124,True,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00270000,2025-07-29 19:37:27+00:00,270.0,58.9,66.85,68.3,0.0,0.0,180.0,45,0.8559584716796875,True,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00275000,2025-06-18 19:59:44+00:00,275.0,78.34,63.4,64.25,0.0,0.0,51.0,0,1.0000000000000003e-05,True,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00280000,2025-05-27 14:16:22+00:00,280.0,81.9,78.5,79.75,0.0,0.0,2.0,0,1.1054732226562503,True,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00285000,2025-05-02 14:56:02+00:00,285.0,80.0,83.4,84.8,0.0,0.0,8.0,0,1.1455120849609375,True,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00290000,2025-02-24 15:13:39+00:00,290.0,42.55,68.1,69.05,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00300000,2025-04-01 14:07:06+00:00,300.0,77.45,94.15,95.2,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00305000,2024-12-20 20:18:19+00:00,305.0,51.05,80.9,83.4,0.0,0.0,11.0,0,1.0000000000000003e-05,True,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00315000,2024-08-13 19:35:53+00:00,315.0,94.41,90.4,94.1,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00370000,2025-04-15 14:46:17+00:00,370.0,168.25,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00380000,2025-04-30 15:44:15+00:00,380.0,169.35,178.45,179.85,0.0,0.0,,0,1.82421962890625,True,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
AAPL250815P00390000,2025-04-29 14:17:03+00:00,390.0,177.85,189.65,190.5,0.0,0.0,1.0,0,2.0629931237792967,True,REGULAR,USD,put,2025-08-15,AAPL,2025-08-02 22:29:11.909129
